function,fc,fs,ss,pcii
audit_tree_init,0,14,887,1.57835
audit_tree_freeing_mark,85.71,42,887,0.67664
audit_tree_handle_event,0,2,887,0.225479
evict_chunk,0,44,887,4.96054
audit_kill_trees,0,15,887,1.69109
audit_tag_tree,0,82,887,9.24464
audit_add_tree_rule,92.31,52,887,0.450823
audit_launch_prune,0,7,887,0.789177
prune_tree_thread,100,16,887,0
tag_mount,100,5,887,0
audit_put_tree,100,3,887,0
audit_make_tree,88.89,9,887,0.112728
audit_trim_trees,0,41,887,4.62232
compare_root,0,5,887,0.563698
audit_remove_tree_rule,100,18,887,0
trim_marked,0,24,887,2.70575
prune_one,100,4,887,0
prune_tree_chunks,100,20,887,0
kill_rules,0,15,887,1.69109
audit_tree_log_remove_rule,0,10,887,1.1274
tag_chunk,23.91,46,887,3.94604
create_chunk,68.29,41,887,1.46574
untag_chunk,79.41,34,887,0.789245
remove_chunk_node,77.78,9,887,0.225457
replace_chunk,0,48,887,5.4115
replace_mark_chunk,100,2,887,0
audit_tree_match,100,4,887,0
audit_tree_lookup,100,20,887,0
insert_hash,100,9,887,0
alloc_chunk,93.55,31,887,0.225423
alloc_mark,100,7,887,0
audit_tree_destroy_watch,100,3,887,0
__put_chunk,100,4,887,0
audit_put_chunk,100,14,887,0
free_chunk,85.71,7,887,0.112773
audit_tree_path,100,2,887,0
put_tree,100,8,887,0
alloc_tree,48.19,83,887,4.84806
fsnotify_group_unlock,100,8,887,0
fsnotify_group_lock,100,10,887,0
kzalloc_noprof,40,5,887,0.338219
__refcount_sub_and_test,88.24,17,887,0.225389
__refcount_add,78.57,14,887,0.338241
__list_add_rcu,100,11,887,0
list_move,100,4,887,0
__list_del_entry,100,12,887,0
__list_add,100,6,887,0
