function,fc,fs,ss,pcii
audit_exe_compare,100,17,455,0
audit_dupe_exe,0,31,455,6.81319
audit_watch_init,0,6,455,1.31868
audit_watch_handle_event,80,10,455,0.43956
audit_remove_watch_rule,100,23,455,0
audit_add_watch,94.44,36,455,0.439912
audit_add_to_parent,71.43,21,455,1.31862
audit_get_nd,95,20,455,0.21978
audit_remove_parent_watches,0,22,455,4.83516
audit_update_watch,89.29,56,455,1.31815
audit_watch_log_rule_change,0,11,455,2.41758
audit_dupe_watch,84.62,13,455,0.439429
audit_to_watch,92.31,13,455,0.219714
audit_init_watch,100,22,455,0
audit_init_parent,76.47,17,455,0.879143
audit_watch_compare,100,4,455,0
audit_watch_path,100,2,455,0
audit_remove_watch,100,6,455,0
audit_put_watch,100,11,455,0
audit_get_watch,100,1,455,0
audit_find_parent,88.89,9,455,0.219758
audit_watch_free_mark,100,5,455,0
audit_free_parent,100,4,455,0
kzalloc_noprof,65.71,35,455,2.63769
__refcount_sub_and_test,88.24,17,455,0.439385
__refcount_add,78.57,14,455,0.659385
__list_add_rcu,100,11,455,0
__list_del_entry,100,12,455,0
__list_add,100,6,455,0
